Rota,Origem,Destino,Distância (km),Tempo (h),Preço do Diesel (R$),Peso (Ton),Emissão de CO2 Diesel (Kg),Emissão de CO2 Híbrido (kg),Emissão de CO2 Elétrico (kg),Consumo Diesel (litros),Consumo Híbrido (litros),Consumo Elétrico (kWh),Custo do Combustível Diesel (R$),Custo do Combustível Híbrido (R$),Custo do Combustível Elétrico (R$)
Rota 1,"Av. Washington Soares, 55 - 9° andar - Água Fria, Fortaleza - CE, 60811-341","Indal dos - BR-116, R. A Dt Ind Imbores, S/N, Vitória da Conquista - BA, 45000-000","1.462,01",21 Horas e 20 minutos,"8,00","14,00","2.236,87","1.398,06","248,54","828,47","517,80","2.485,42","6.627,76","4.142,40","1.864,07"
Rota 2,"Av. Washington Soares, 55 - 9° andar - Água Fria, Fortaleza - CE, 60811-341","Indal dos - BR-116, R. A Dt Ind Imbores, S/N, Vitória da Conquista - BA, 45000-000","1.578,59",22 Horas e 46 minutos,"8,00","14,00","2.415,26","1.509,52","268,36","894,53","559,08","2.683,60","7.156,24","4.472,64","2.012,70"
Rota 3,"Av. Washington Soares, 55 - 9° andar - Água Fria, Fortaleza - CE, 60811-341","Indal dos - BR-116, R. A Dt Ind Imbores, S/N, Vitória da Conquista - BA, 45000-000","1.579,06",22 Horas e 57 minutos,"8,00","14,00","2.415,96","1.509,98","268,44","894,80","559,25","2.684,40","7.158,40","4.474,00","2.013,30"
Rota 1,"Av. Washington Soares, 55 - 9° andar - Água Fria, Fortaleza - CE, 60811-341","Via Urbana, Quadra 2, Km, 3,5, CIA-SUL s/n Zona Industrial, Simões Filho - BA, 43700-000","1.165,69",16 Horas e 36 minutos,"8,10","15,00","1.835,97","1.147,47","204,00","679,99","424,99","2.039,96","5.507,92","3.442,42","1.529,97"
Rota 2,"Av. Washington Soares, 55 - 9° andar - Água Fria, Fortaleza - CE, 60811-341","Via Urbana, Quadra 2, Km, 3,5, CIA-SUL s/n Zona Industrial, Simões Filho - BA, 43700-000","1.316,55",18 Horas e 34 minutos,"8,10","15,00","2.073,57","1.295,97","230,40","767,99","479,99","2.303,96","6.220,72","3.887,92","1.727,97"
Rota 3,"Av. Washington Soares, 55 - 9° andar - Água Fria, Fortaleza - CE, 60811-341","Via Urbana, Quadra 2, Km, 3,5, CIA-SUL s/n Zona Industrial, Simões Filho - BA, 43700-000","1.316,55",18 Horas e 34 minutos,"8,10","15,00","2.073,57","1.295,97","230,40","767,99","479,99","2.303,96","6.220,72","3.887,92","1.727,97"
Rota 1,"Av. Washington Soares, 55 - 9° andar - Água Fria, Fortaleza - CE, 60811-341","Av. Cachoeira do Meirim, s/n - Benedito Bentes, Maceió - AL, 57084-040","935,36",13 Horas e 6 minutos,"8,50","12,00","1.346,92","841,83","149,66","498,86","311,79","1.496,58","4.240,31","2.650,22","1.122,43"
Rota 2,"Av. Washington Soares, 55 - 9° andar - Água Fria, Fortaleza - CE, 60811-341","Av. Cachoeira do Meirim, s/n - Benedito Bentes, Maceió - AL, 57084-040","979,58",13 Horas e 54 minutos,"8,50","12,00","1.410,59","881,63","156,73","522,44","326,53","1.567,33","4.440,74","2.775,50","1.175,50"
Rota 3,"Av. Washington Soares, 55 - 9° andar - Água Fria, Fortaleza - CE, 60811-341","Av. Cachoeira do Meirim, s/n - Benedito Bentes, Maceió - AL, 57084-040","1.037,00",14 Horas e 42 minutos,"8,50","12,00","1.493,29","933,31","165,92","553,07","345,67","1.659,20","4.701,10","2.938,20","1.244,40"
Rota 1,"Av. Washington Soares, 55 - 9° andar - Água Fria, Fortaleza - CE, 60811-341","Av. União, 3020 - Água Mineral, Teresina - PI, 64002-600","613,35",8 Horas e 45 minutos,"7,90","10,00","828,01","517,51","92,00","306,68","191,67","920,03","2.422,77","1.514,19","690,02"
Rota 2,"Av. Washington Soares, 55 - 9° andar - Água Fria, Fortaleza - CE, 60811-341","Av. União, 3020 - Água Mineral, Teresina - PI, 64002-600","637,36",9 Horas e 9 minutos,"7,90","10,00","860,44","537,76","95,60","318,68","199,17","956,04","2.517,57","1.573,44","717,03"
Rota 3,"Av. Washington Soares, 55 - 9° andar - Água Fria, Fortaleza - CE, 60811-341","Av. União, 3020 - Água Mineral, Teresina - PI, 64002-600","618,64",9 Horas e 18 minutos,"7,90","10,00","835,16","521,96","92,80","309,32","193,32","927,96","2.443,63","1.527,23","695,97"
